AgeCat Cor Gen Rep Ref varE
k3 0.793199603744 21 0 10K 0.1
k5 0.693529913753 21 0 10K 0.1
pBM4 0.762849820715 21 0 10K 0.1
pBM5 0.591466069339 21 0 10K 0.1
pBM6 0.691009956219 21 0 10K 0.1
potomciNP0 0.268178292175 21 0 10K 0.1
telF1 0.304836435397 21 0 10K 0.1
k3 0.744357716807 22 0 10K 0.1
k5 0.732495421153 22 0 10K 0.1
pBM4 0.324386269386 22 0 10K 0.1
pBM5 0.775824203703 22 0 10K 0.1
pBM6 0.697768169924 22 0 10K 0.1
potomciNP0 0.397773960636 22 0 10K 0.1
telF1 0.269591750954 22 0 10K 0.1
k3 0.740045952181 23 0 10K 0.1
k5 0.810216203971 23 0 10K 0.1
pBM4 0.509460592651 23 0 10K 0.1
pBM5 0.354193654616 23 0 10K 0.1
pBM6 0.798137448956 23 0 10K 0.1
potomciNP0 0.20142472262 23 0 10K 0.1
telF1 0.326091794788 23 0 10K 0.1
k3 0.767314102659 24 0 10K 0.1
k5 0.76815065613 24 0 10K 0.1
pBM4 0.587289297533 24 0 10K 0.1
pBM5 0.508721186607 24 0 10K 0.1
pBM6 0.387503374584 24 0 10K 0.1
potomciNP0 0.354746171629 24 0 10K 0.1
telF1 0.518681986781 24 0 10K 0.1
k3 0.748086964343 25 0 10K 0.1
k5 0.749866075188 25 0 10K 0.1
pBM4 0.523217534972 25 0 10K 0.1
pBM5 0.608803171093 25 0 10K 0.1
pBM6 0.570347161122 25 0 10K 0.1
potomciNP0 0.549587009271 25 0 10K 0.1
telF1 0.543131422888 25 0 10K 0.1
k3 0.745639403751 26 0 10K 0.1
k5 0.769948479373 26 0 10K 0.1
pBM4 0.257520892419 26 0 10K 0.1
pBM5 0.511342564388 26 0 10K 0.1
pBM6 0.586353356716 26 0 10K 0.1
potomciNP0 0.400003163731 26 0 10K 0.1
telF1 0.565951942826 26 0 10K 0.1
k3 0.757456367979 27 0 10K 0.1
k5 0.759991546802 27 0 10K 0.1
pBM4 0.278504928787 27 0 10K 0.1
pBM5 0.338658396601 27 0 10K 0.1
pBM6 0.467775282641 27 0 10K 0.1
potomciNP0 0.40916818243 27 0 10K 0.1
telF1 0.473317530947 27 0 10K 0.1
k3 0.760132859866 28 0 10K 0.1
k5 0.750674511763 28 0 10K 0.1
pBM4 0.221230470435 28 0 10K 0.1
pBM5 0.275009714232 28 0 10K 0.1
pBM6 0.35370536911 28 0 10K 0.1
potomciNP0 0.359166603375 28 0 10K 0.1
telF1 0.530537900176 28 0 10K 0.1
k3 0.737084122172 29 0 10K 0.1
k5 0.762579137835 29 0 10K 0.1
pBM4 0.275082078748 29 0 10K 0.1
pBM5 0.273267265544 29 0 10K 0.1
pBM6 0.295369145999 29 0 10K 0.1
potomciNP0 0.485802881596 29 0 10K 0.1
telF1 0.499937250991 29 0 10K 0.1
k3 0.727639216442 30 0 10K 0.1
k5 0.760641844005 30 0 10K 0.1
pBM4 0.435646632864 30 0 10K 0.1
pBM5 0.209915454829 30 0 10K 0.1
pBM6 0.27076315758 30 0 10K 0.1
potomciNP0 0.505832987333 30 0 10K 0.1
telF1 0.508068583238 30 0 10K 0.1
k3 0.705278526632 31 0 10K 0.1
k5 0.739605881906 31 0 10K 0.1
pBM4 0.472804407045 31 0 10K 0.1
pBM5 0.47607494141 31 0 10K 0.1
pBM6 0.237560933932 31 0 10K 0.1
potomciNP0 0.460625272006 31 0 10K 0.1
telF1 0.534774751314 31 0 10K 0.1
k3 0.720838383306 32 0 10K 0.1
k5 0.731551254113 32 0 10K 0.1
pBM4 0.460630125198 32 0 10K 0.1
pBM5 0.408651025769 32 0 10K 0.1
pBM6 0.41760030913 32 0 10K 0.1
potomciNP0 0.46694744238 32 0 10K 0.1
telF1 0.506983011595 32 0 10K 0.1
k3 0.721501249199 33 0 10K 0.1
k5 0.721000754877 33 0 10K 0.1
pBM4 0.467584809311 33 0 10K 0.1
pBM5 0.441355621837 33 0 10K 0.1
pBM6 0.448185491726 33 0 10K 0.1
potomciNP0 0.523544082634 33 0 10K 0.1
telF1 0.496480420567 33 0 10K 0.1
k3 0.71385555689 34 0 10K 0.1
k5 0.711453628474 34 0 10K 0.1
pBM4 0.432290751446 34 0 10K 0.1
pBM5 0.509163534339 34 0 10K 0.1
pBM6 0.470691991412 34 0 10K 0.1
potomciNP0 0.212820639079 34 0 10K 0.1
telF1 0.444091867017 34 0 10K 0.1
k3 0.718833747898 35 0 10K 0.1
k5 0.725441805645 35 0 10K 0.1
pBM4 0.310346676233 35 0 10K 0.1
pBM5 0.45446545604 35 0 10K 0.1
pBM6 0.515653654404 35 0 10K 0.1
potomciNP0 0.479754854881 35 0 10K 0.1
telF1 0.452623316492 35 0 10K 0.1
k3 0.709419155551 36 0 10K 0.1
k5 0.736912008096 36 0 10K 0.1
pBM4 0.502905761761 36 0 10K 0.1
pBM5 0.294119550128 36 0 10K 0.1
pBM6 0.446348046953 36 0 10K 0.1
potomciNP0 0.285811988808 36 0 10K 0.1
telF1 0.486974655961 36 0 10K 0.1
k3 0.678921683744 37 0 10K 0.1
k5 0.727069832212 37 0 10K 0.1
pBM4 0.212467162389 37 0 10K 0.1
pBM5 0.470758931373 37 0 10K 0.1
pBM6 0.222077676523 37 0 10K 0.1
potomciNP0 0.377826308609 37 0 10K 0.1
telF1 0.452987222034 37 0 10K 0.1
k3 0.701978076916 38 0 10K 0.1
k5 0.722651379888 38 0 10K 0.1
pBM4 0.0415752798947 38 0 10K 0.1
pBM5 0.172213274139 38 0 10K 0.1
pBM6 0.46598070611 38 0 10K 0.1
potomciNP0 0.453436258575 38 0 10K 0.1
telF1 0.500571707496 38 0 10K 0.1
k3 0.689226295845 39 0 10K 0.1
k5 0.699090653399 39 0 10K 0.1
pBM4 0.486948696374 39 0 10K 0.1
pBM5 0.0953149783603 39 0 10K 0.1
pBM6 0.158450173317 39 0 10K 0.1
potomciNP0 0.318456511227 39 0 10K 0.1
telF1 0.453410784529 39 0 10K 0.1
k3 0.699398925732 40 0 10K 0.1
k5 0.720626969122 40 0 10K 0.1
pBM4 0.410744095397 40 0 10K 0.1
pBM5 0.467820684599 40 0 10K 0.1
pBM6 0.110145029391 40 0 10K 0.1
potomciNP0 0.33909365574 40 0 10K 0.1
telF1 0.458615361072 40 0 10K 0.1
k3 0.656681360509 40 0 10K 0.1
k5 0.630727788909 40 0 10K 0.1
pBM4 0.716603135255 40 0 10K 0.1
pBM5 0.764495767251 40 0 10K 0.1
k3 0.788761373901 21 0 10K 0.1
k5 0.701074234749 21 0 10K 0.1
pBM4 0.803900984071 21 0 10K 0.1
pBM5 0.557976166781 21 0 10K 0.1
pBM6 0.75582098496 21 0 10K 0.1
potomciNP0 0.303640564982 21 0 10K 0.1
telF1 0.274982499756 21 0 10K 0.1
k3 0.748651435664 22 0 10K 0.1
k5 0.754185417309 22 0 10K 0.1
pBM4 0.486272176119 22 0 10K 0.1
pBM5 0.791761619051 22 0 10K 0.1
pBM6 0.674182831776 22 0 10K 0.1
potomciNP0 0.18239605565 22 0 10K 0.1
telF1 0.262379100257 22 0 10K 0.1
k3 0.743655758994 23 0 10K 0.1
k5 0.806173359848 23 0 10K 0.1
pBM4 0.500491874439 23 0 10K 0.1
pBM5 0.574379739362 23 0 10K 0.1
pBM6 0.792075872576 23 0 10K 0.1
potomciNP0 0.186324005818 23 0 10K 0.1
telF1 0.290952519469 23 0 10K 0.1
k3 0.766630770145 24 0 10K 0.1
k5 0.779510939446 24 0 10K 0.1
pBM4 0.453356522103 24 0 10K 0.1
pBM5 0.499433593941 24 0 10K 0.1
pBM6 0.666368199325 24 0 10K 0.1
potomciNP0 0.513863804228 24 0 10K 0.1
telF1 0.50142459594 24 0 10K 0.1
k3 0.754938396859 25 0 10K 0.1
k5 0.757009812062 25 0 10K 0.1
pBM4 0.163466686038 25 0 10K 0.1
pBM5 0.455797583037 25 0 10K 0.1
pBM6 0.481079325391 25 0 10K 0.1
potomciNP0 0.464646251365 25 0 10K 0.1
telF1 0.509142060198 25 0 10K 0.1
k3 0.739551466189 26 0 10K 0.1
k5 0.783810888556 26 0 10K 0.1
pBM4 0.1397372532 26 0 10K 0.1
pBM5 0.165950779503 26 0 10K 0.1
pBM6 0.506055143003 26 0 10K 0.1
potomciNP0 0.397979557149 26 0 10K 0.1
telF1 0.515921749437 26 0 10K 0.1
k3 0.744273782603 27 0 10K 0.1
k5 0.779800109601 27 0 10K 0.1
pBM4 0.46194470739 27 0 10K 0.1
pBM5 0.172989007679 27 0 10K 0.1
pBM6 0.214424366234 27 0 10K 0.1
potomciNP0 0.398876523791 27 0 10K 0.1
telF1 0.523280509265 27 0 10K 0.1
k3 0.739364238574 28 0 10K 0.1
k5 0.748435983522 28 0 10K 0.1
pBM4 0.468843144443 28 0 10K 0.1
pBM5 0.370325977256 28 0 10K 0.1
pBM6 0.23165101358 28 0 10K 0.1
potomciNP0 0.496226089618 28 0 10K 0.1
telF1 0.511737060049 28 0 10K 0.1
k3 0.717543410387 29 0 10K 0.1
k5 0.739953656029 29 0 10K 0.1
pBM4 0.363651728853 29 0 10K 0.1
pBM5 0.487935505859 29 0 10K 0.1
pBM6 0.357922742812 29 0 10K 0.1
potomciNP0 0.536291444932 29 0 10K 0.1
telF1 0.474491446714 29 0 10K 0.1
k3 0.712541166342 30 0 10K 0.1
k5 0.753184926848 30 0 10K 0.1
pBM4 0.487584567128 30 0 10K 0.1
pBM5 0.420674080609 30 0 10K 0.1
pBM6 0.407828531038 30 0 10K 0.1
potomciNP0 0.428083468922 30 0 10K 0.1
telF1 0.491269951367 30 0 10K 0.1
k3 0.701219046625 31 0 10K 0.1
k5 0.724134470971 31 0 10K 0.1
pBM4 0.0272979404953 31 0 10K 0.1
pBM5 0.547846099331 31 0 10K 0.1
pBM6 0.404953169887 31 0 10K 0.1
potomciNP0 0.329049909774 31 0 10K 0.1
telF1 0.465201310522 31 0 10K 0.1
k3 0.703567284605 32 0 10K 0.1
k5 0.720328650107 32 0 10K 0.1
pBM4 0.691054158408 32 0 10K 0.1
pBM5 0.0565650944714 32 0 10K 0.1
pBM6 0.503543837712 32 0 10K 0.1
potomciNP0 0.26818865119 32 0 10K 0.1
telF1 0.481953582897 32 0 10K 0.1
k3 0.695380850338 33 0 10K 0.1
k5 0.720521617379 33 0 10K 0.1
pBM4 0.293256779172 33 0 10K 0.1
pBM5 0.614074357166 33 0 10K 0.1
pBM6 0.00195357860937 33 0 10K 0.1
potomciNP0 0.405880977142 33 0 10K 0.1
telF1 0.422402453211 33 0 10K 0.1
k3 0.714384138542 34 0 10K 0.1
k5 0.712367786617 34 0 10K 0.1
pBM4 0.184130113355 34 0 10K 0.1
pBM5 0.281929508994 34 0 10K 0.1
pBM6 0.653419305065 34 0 10K 0.1
potomciNP0 0.344302645 34 0 10K 0.1
telF1 0.451213358289 34 0 10K 0.1
k3 0.683834973449 35 0 10K 0.1
k5 0.699367530733 35 0 10K 0.1
pBM4 0.357051355062 35 0 10K 0.1
pBM5 0.203656894789 35 0 10K 0.1
pBM6 0.179282640797 35 0 10K 0.1
potomciNP0 0.245525225289 35 0 10K 0.1
telF1 0.376939644564 35 0 10K 0.1
k3 0.691919059669 36 0 10K 0.1
k5 0.724456893919 36 0 10K 0.1
pBM4 0.394872569208 36 0 10K 0.1
pBM5 0.348479872224 36 0 10K 0.1
pBM6 0.247138107635 36 0 10K 0.1
potomciNP0 0.221412691721 36 0 10K 0.1
telF1 0.411580921031 36 0 10K 0.1
k3 0.685198962761 37 0 10K 0.1
k5 0.693141432446 37 0 10K 0.1
pBM4 0.358007963707 37 0 10K 0.1
pBM5 0.458199420012 37 0 10K 0.1
pBM6 0.340995878549 37 0 10K 0.1
potomciNP0 0.198360942312 37 0 10K 0.1
telF1 0.44202326987 37 0 10K 0.1
k3 0.675478874902 38 0 10K 0.1
k5 0.711484230316 38 0 10K 0.1
pBM4 0.378900485085 38 0 10K 0.1
pBM5 0.448278337468 38 0 10K 0.1
pBM6 0.539173285435 38 0 10K 0.1
potomciNP0 0.399874773345 38 0 10K 0.1
telF1 0.428573120937 38 0 10K 0.1
k3 0.680084975233 39 0 10K 0.1
k5 0.708536007378 39 0 10K 0.1
pBM4 0.28231925156 39 0 10K 0.1
pBM5 0.38078653164 39 0 10K 0.1
pBM6 0.493664687733 39 0 10K 0.1
potomciNP0 0.341759291484 39 0 10K 0.1
telF1 0.392623708271 39 0 10K 0.1
k3 0.670817563665 40 0 10K 0.1
k5 0.686314052112 40 0 10K 0.1
pBM4 0.141821260966 40 0 10K 0.1
pBM5 0.193351414242 40 0 10K 0.1
pBM6 0.35620290936 40 0 10K 0.1
potomciNP0 0.284140440054 40 0 10K 0.1
telF1 0.38081303425 40 0 10K 0.1
genTest1 0.235193918827 41 0 10K 0.1
gpb2 0.832915572618 41 0 10K 0.1
gpb3 0.856096355669 41 0 10K 0.1
gpb4 0.820235305049 41 0 10K 0.1
gpb5 0.831807174125 41 0 10K 0.1
k3 0.740462938779 41 0 10K 0.1
k5 0.76161766956 41 0 10K 0.1
pBM4 0.370971462392 41 0 10K 0.1
pBM5 0.259442597749 41 0 10K 0.1
pBM6 0.245797034302 41 0 10K 0.1
potomciNP0 0.728812156343 41 0 10K 0.1
telF1 0.45905075254 41 0 10K 0.1
genTest1 0.866296360033 42 0 10K 0.1
gpb2 0.144106503842 42 0 10K 0.1
gpb3 0.630705970667 42 0 10K 0.1
gpb4 0.269508697721 42 0 10K 0.1
gpb5 0.994493410274 42 0 10K 0.1
k3 0.736156587416 42 0 10K 0.1
k5 0.766137599528 42 0 10K 0.1
pBM4 0.75749941671 42 0 10K 0.1
pBM5 0.453708801207 42 0 10K 0.1
pBM6 0.443471924207 42 0 10K 0.1
potomciNP0 0.666841001497 42 0 10K 0.1
telF1 0.482428849238 42 0 10K 0.1
genTest1 0.879926936549 43 0 10K 0.1
gpb2 0.872594739334 43 0 10K 0.1
gpb3 0.532307237692 43 0 10K 0.1
gpb4 0.664231969935 43 0 10K 0.1
gpb5 0.879717237791 43 0 10K 0.1
k3 0.733105498492 43 0 10K 0.1
k5 0.837655208823 43 0 10K 0.1
pBM4 0.49255250669 43 0 10K 0.1
pBM5 0.780640739114 43 0 10K 0.1
pBM6 0.441329409061 43 0 10K 0.1
potomciNP0 0.772035520352 43 0 10K 0.1
telF1 0.499160527105 43 0 10K 0.1
genTest1 0.953274664891 44 0 10K 0.1
gpb2 0.667724237842 44 0 10K 0.1
gpb3 0.886763852601 44 0 10K 0.1
gpb4 0.267015279457 44 0 10K 0.1
gpb5 0.994930203115 44 0 10K 0.1
k3 0.769507682607 44 0 10K 0.1
k5 0.833968430993 44 0 10K 0.1
pBM4 0.616841701663 44 0 10K 0.1
pBM5 0.588615354543 44 0 10K 0.1
pBM6 0.771840785466 44 0 10K 0.1
potomciNP0 0.664627248133 44 0 10K 0.1
telF1 0.569333399568 44 0 10K 0.1
genTest1 0.90287729835 45 0 10K 0.1
gpb2 0.841149326232 45 0 10K 0.1
gpb3 0.692701971559 45 0 10K 0.1
gpb4 0.815411010322 45 0 10K 0.1
gpb5 0.978146303947 45 0 10K 0.1
k3 0.773039097912 45 0 10K 0.1
k5 0.83028912423 45 0 10K 0.1
pBM4 0.558719891496 45 0 10K 0.1
pBM5 0.67480334361 45 0 10K 0.1
pBM6 0.665183366507 45 0 10K 0.1
potomciNP0 0.716790422735 45 0 10K 0.1
telF1 0.611342344711 45 0 10K 0.1
genTest1 0.929899510052 46 0 10K 0.1
gpb2 0.406772449832 46 0 10K 0.1
gpb3 0.836290720128 46 0 10K 0.1
gpb4 0.702220823638 46 0 10K 0.1
gpb5 0.855598202843 46 0 10K 0.1
k3 0.781886065699 46 0 10K 0.1
k5 0.853509572581 46 0 10K 0.1
pBM4 0.714284366639 46 0 10K 0.1
pBM5 0.611395822008 46 0 10K 0.1
pBM6 0.719669338213 46 0 10K 0.1
potomciNP0 0.72352643014 46 0 10K 0.1
telF1 0.629280576819 46 0 10K 0.1
genTest1 0.868596988929 47 0 10K 0.1
gpb2 0.419209144973 47 0 10K 0.1
gpb3 0.28065062176 47 0 10K 0.1
gpb4 0.906115786156 47 0 10K 0.1
gpb5 0.962384024638 47 0 10K 0.1
k3 0.779399046128 47 0 10K 0.1
k5 0.844844565888 47 0 10K 0.1
pBM4 0.618374476629 47 0 10K 0.1
pBM5 0.781760328171 47 0 10K 0.1
pBM6 0.664419728441 47 0 10K 0.1
potomciNP0 0.67272698723 47 0 10K 0.1
