AgeCat Cor Gen Rep Ref varE
k3 0.793199603744 21 0 1K 0.2
k5 0.693529913753 21 0 1K 0.2
pBM4 0.762849820715 21 0 1K 0.2
pBM5 0.591466069339 21 0 1K 0.2
pBM6 0.691009956219 21 0 1K 0.2
potomciNP0 0.268178292175 21 0 1K 0.2
telF1 0.304836435397 21 0 1K 0.2
k3 0.744357716807 22 0 1K 0.2
k5 0.732495421153 22 0 1K 0.2
pBM4 0.324386269386 22 0 1K 0.2
pBM5 0.775824203703 22 0 1K 0.2
pBM6 0.697768169924 22 0 1K 0.2
potomciNP0 0.397773960636 22 0 1K 0.2
telF1 0.269591750954 22 0 1K 0.2
k3 0.740045952181 23 0 1K 0.2
k5 0.810216203971 23 0 1K 0.2
pBM4 0.509460592651 23 0 1K 0.2
pBM5 0.354193654616 23 0 1K 0.2
pBM6 0.798137448956 23 0 1K 0.2
potomciNP0 0.20142472262 23 0 1K 0.2
telF1 0.326091794788 23 0 1K 0.2
k3 0.767314102659 24 0 1K 0.2
k5 0.76815065613 24 0 1K 0.2
pBM4 0.587289297533 24 0 1K 0.2
pBM5 0.508721186607 24 0 1K 0.2
pBM6 0.387503374584 24 0 1K 0.2
potomciNP0 0.354746171629 24 0 1K 0.2
telF1 0.518681986781 24 0 1K 0.2
k3 0.748086964343 25 0 1K 0.2
k5 0.749866075188 25 0 1K 0.2
pBM4 0.523217534972 25 0 1K 0.2
pBM5 0.608803171093 25 0 1K 0.2
pBM6 0.570347161122 25 0 1K 0.2
potomciNP0 0.549587009271 25 0 1K 0.2
telF1 0.543131422888 25 0 1K 0.2
k3 0.745639403751 26 0 1K 0.2
k5 0.769948479373 26 0 1K 0.2
pBM4 0.257520892419 26 0 1K 0.2
pBM5 0.511342564388 26 0 1K 0.2
pBM6 0.586353356716 26 0 1K 0.2
potomciNP0 0.400003163731 26 0 1K 0.2
telF1 0.565951942826 26 0 1K 0.2
k3 0.757456367979 27 0 1K 0.2
k5 0.759991546802 27 0 1K 0.2
pBM4 0.278504928787 27 0 1K 0.2
pBM5 0.338658396601 27 0 1K 0.2
pBM6 0.467775282641 27 0 1K 0.2
potomciNP0 0.40916818243 27 0 1K 0.2
telF1 0.473317530947 27 0 1K 0.2
k3 0.760132859866 28 0 1K 0.2
k5 0.750674511763 28 0 1K 0.2
pBM4 0.221230470435 28 0 1K 0.2
pBM5 0.275009714232 28 0 1K 0.2
pBM6 0.35370536911 28 0 1K 0.2
potomciNP0 0.359166603375 28 0 1K 0.2
telF1 0.530537900176 28 0 1K 0.2
k3 0.737084122172 29 0 1K 0.2
k5 0.762579137835 29 0 1K 0.2
pBM4 0.275082078748 29 0 1K 0.2
pBM5 0.273267265544 29 0 1K 0.2
pBM6 0.295369145999 29 0 1K 0.2
potomciNP0 0.485802881596 29 0 1K 0.2
telF1 0.499937250991 29 0 1K 0.2
k3 0.727639216442 30 0 1K 0.2
k5 0.760641844005 30 0 1K 0.2
pBM4 0.435646632864 30 0 1K 0.2
pBM5 0.209915454829 30 0 1K 0.2
pBM6 0.27076315758 30 0 1K 0.2
potomciNP0 0.505832987333 30 0 1K 0.2
telF1 0.508068583238 30 0 1K 0.2
k3 0.705278526632 31 0 1K 0.2
k5 0.739605881906 31 0 1K 0.2
pBM4 0.472804407045 31 0 1K 0.2
pBM5 0.47607494141 31 0 1K 0.2
pBM6 0.237560933932 31 0 1K 0.2
potomciNP0 0.460625272006 31 0 1K 0.2
telF1 0.534774751314 31 0 1K 0.2
k3 0.720838383306 32 0 1K 0.2
k5 0.731551254113 32 0 1K 0.2
pBM4 0.460630125198 32 0 1K 0.2
pBM5 0.408651025769 32 0 1K 0.2
pBM6 0.41760030913 32 0 1K 0.2
potomciNP0 0.46694744238 32 0 1K 0.2
telF1 0.506983011595 32 0 1K 0.2
k3 0.721501249199 33 0 1K 0.2
k5 0.721000754877 33 0 1K 0.2
pBM4 0.467584809311 33 0 1K 0.2
pBM5 0.441355621837 33 0 1K 0.2
pBM6 0.448185491726 33 0 1K 0.2
potomciNP0 0.523544082634 33 0 1K 0.2
telF1 0.496480420567 33 0 1K 0.2
k3 0.71385555689 34 0 1K 0.2
k5 0.711453628474 34 0 1K 0.2
pBM4 0.432290751446 34 0 1K 0.2
pBM5 0.509163534339 34 0 1K 0.2
pBM6 0.470691991412 34 0 1K 0.2
potomciNP0 0.212820639079 34 0 1K 0.2
telF1 0.444091867017 34 0 1K 0.2
k3 0.718833747898 35 0 1K 0.2
k5 0.725441805645 35 0 1K 0.2
pBM4 0.310346676233 35 0 1K 0.2
pBM5 0.45446545604 35 0 1K 0.2
pBM6 0.515653654404 35 0 1K 0.2
potomciNP0 0.479754854881 35 0 1K 0.2
telF1 0.452623316492 35 0 1K 0.2
k3 0.709419155551 36 0 1K 0.2
k5 0.736912008096 36 0 1K 0.2
pBM4 0.502905761761 36 0 1K 0.2
pBM5 0.294119550128 36 0 1K 0.2
pBM6 0.446348046953 36 0 1K 0.2
potomciNP0 0.285811988808 36 0 1K 0.2
telF1 0.486974655961 36 0 1K 0.2
k3 0.678921683744 37 0 1K 0.2
k5 0.727069832212 37 0 1K 0.2
pBM4 0.212467162389 37 0 1K 0.2
pBM5 0.470758931373 37 0 1K 0.2
pBM6 0.222077676523 37 0 1K 0.2
potomciNP0 0.377826308609 37 0 1K 0.2
telF1 0.452987222034 37 0 1K 0.2
k3 0.701978076916 38 0 1K 0.2
k5 0.722651379888 38 0 1K 0.2
pBM4 0.0415752798947 38 0 1K 0.2
pBM5 0.172213274139 38 0 1K 0.2
pBM6 0.46598070611 38 0 1K 0.2
potomciNP0 0.453436258575 38 0 1K 0.2
telF1 0.500571707496 38 0 1K 0.2
k3 0.689226295845 39 0 1K 0.2
k5 0.699090653399 39 0 1K 0.2
pBM4 0.486948696374 39 0 1K 0.2
pBM5 0.0953149783603 39 0 1K 0.2
pBM6 0.158450173317 39 0 1K 0.2
potomciNP0 0.318456511227 39 0 1K 0.2
telF1 0.453410784529 39 0 1K 0.2
k3 0.699398925732 40 0 1K 0.2
k5 0.720626969122 40 0 1K 0.2
pBM4 0.410744095397 40 0 1K 0.2
pBM5 0.467820684599 40 0 1K 0.2
pBM6 0.110145029391 40 0 1K 0.2
potomciNP0 0.33909365574 40 0 1K 0.2
telF1 0.458615361072 40 0 1K 0.2
k3 0.656681360509 40 0 1K 0.2
k5 0.630727788909 40 0 1K 0.2
pBM4 0.716603135255 40 0 1K 0.2
pBM5 0.764495767251 40 0 1K 0.2
k3 0.788761373901 21 0 1K 0.2
k5 0.701074234749 21 0 1K 0.2
pBM4 0.803900984071 21 0 1K 0.2
pBM5 0.557976166781 21 0 1K 0.2
pBM6 0.75582098496 21 0 1K 0.2
potomciNP0 0.303640564982 21 0 1K 0.2
telF1 0.274982499756 21 0 1K 0.2
k3 0.748651435664 22 0 1K 0.2
k5 0.754185417309 22 0 1K 0.2
pBM4 0.486272176119 22 0 1K 0.2
pBM5 0.791761619051 22 0 1K 0.2
pBM6 0.674182831776 22 0 1K 0.2
potomciNP0 0.18239605565 22 0 1K 0.2
telF1 0.262379100257 22 0 1K 0.2
k3 0.743655758994 23 0 1K 0.2
k5 0.806173359848 23 0 1K 0.2
pBM4 0.500491874439 23 0 1K 0.2
pBM5 0.574379739362 23 0 1K 0.2
pBM6 0.792075872576 23 0 1K 0.2
potomciNP0 0.186324005818 23 0 1K 0.2
telF1 0.290952519469 23 0 1K 0.2
k3 0.766630770145 24 0 1K 0.2
k5 0.779510939446 24 0 1K 0.2
pBM4 0.453356522103 24 0 1K 0.2
pBM5 0.499433593941 24 0 1K 0.2
pBM6 0.666368199325 24 0 1K 0.2
potomciNP0 0.513863804228 24 0 1K 0.2
telF1 0.50142459594 24 0 1K 0.2
k3 0.754938396859 25 0 1K 0.2
k5 0.757009812062 25 0 1K 0.2
pBM4 0.163466686038 25 0 1K 0.2
pBM5 0.455797583037 25 0 1K 0.2
pBM6 0.481079325391 25 0 1K 0.2
potomciNP0 0.464646251365 25 0 1K 0.2
telF1 0.509142060198 25 0 1K 0.2
