AgeCat Cor Gen Rep Ref sc
cak5 0.00435976373031 21 0 10K 1
k3 0.793199603744 21 0 10K 1
k5 0.693529913753 21 0 10K 1
potomciNP0 0.268178292175 21 0 10K 1
telF1 0.304836435397 21 0 10K 1
vhlevljeni1 -0.088843438454 21 0 10K 1
cak5 0.395617051129 22 0 10K 1
k3 0.744357716807 22 0 10K 1
k5 0.732495421153 22 0 10K 1
potomciNP0 0.397773960636 22 0 10K 1
telF1 0.269591750954 22 0 10K 1
vhlevljeni1 0.169978236577 22 0 10K 1
cak5 0.799123169308 23 0 10K 1
k3 0.740045952181 23 0 10K 1
k5 0.810216203971 23 0 10K 1
potomciNP0 0.20142472262 23 0 10K 1
telF1 0.326091794788 23 0 10K 1
vhlevljeni1 0.512740648825 23 0 10K 1
cak5 0.97898686122 24 0 10K 1
k3 0.767314102659 24 0 10K 1
k5 0.76815065613 24 0 10K 1
potomciNP0 0.354746171629 24 0 10K 1
telF1 0.518681986781 24 0 10K 1
vhlevljeni1 0.580545895059 24 0 10K 1
cak5 0.861435116673 25 0 10K 1
k3 0.748086964343 25 0 10K 1
k5 0.749866075188 25 0 10K 1
potomciNP0 0.549587009271 25 0 10K 1
telF1 0.543131422888 25 0 10K 1
vhlevljeni1 0.490928984984 25 0 10K 1
cak5 0.993575528933 26 0 10K 1
k3 0.745639403751 26 0 10K 1
k5 0.769948479373 26 0 10K 1
potomciNP0 0.400003163731 26 0 10K 1
telF1 0.565951942826 26 0 10K 1
vhlevljeni1 0.622253773297 26 0 10K 1
cak5 0.979611940318 27 0 10K 1
k3 0.757456367979 27 0 10K 1
k5 0.759991546802 27 0 10K 1
potomciNP0 0.40916818243 27 0 10K 1
telF1 0.473317530947 27 0 10K 1
vhlevljeni1 0.427794119656 27 0 10K 1
cak5 0.984017331915 28 0 10K 1
k3 0.760132859866 28 0 10K 1
k5 0.750674511763 28 0 10K 1
potomciNP0 0.359166603375 28 0 10K 1
telF1 0.530537900176 28 0 10K 1
vhlevljeni1 0.395722113961 28 0 10K 1
cak5 0.974633655137 29 0 10K 1
k3 0.737084122172 29 0 10K 1
k5 0.762579137835 29 0 10K 1
potomciNP0 0.485802881596 29 0 10K 1
telF1 0.499937250991 29 0 10K 1
vhlevljeni1 0.150879665127 29 0 10K 1
cak5 0.967871458237 30 0 10K 1
k3 0.727639216442 30 0 10K 1
k5 0.760641844005 30 0 10K 1
potomciNP0 0.505832987333 30 0 10K 1
telF1 0.508068583238 30 0 10K 1
vhlevljeni1 0.545837135342 30 0 10K 1
cak5 0.943409895275 31 0 10K 1
k3 0.705278526632 31 0 10K 1
k5 0.739605881906 31 0 10K 1
potomciNP0 0.460625272006 31 0 10K 1
telF1 0.534774751314 31 0 10K 1
vhlevljeni1 0.682107209016 31 0 10K 1
cak5 0.913948192208 32 0 10K 1
k3 0.720838383306 32 0 10K 1
k5 0.731551254113 32 0 10K 1
potomciNP0 0.46694744238 32 0 10K 1
telF1 0.506983011595 32 0 10K 1
vhlevljeni1 0.239186199833 32 0 10K 1
cak5 0.929028934507 33 0 10K 1
k3 0.721501249199 33 0 10K 1
k5 0.721000754877 33 0 10K 1
potomciNP0 0.523544082634 33 0 10K 1
telF1 0.496480420567 33 0 10K 1
vhlevljeni1 0.648161885968 33 0 10K 1
cak5 0.892678714664 34 0 10K 1
k3 0.71385555689 34 0 10K 1
k5 0.711453628474 34 0 10K 1
potomciNP0 0.212820639079 34 0 10K 1
telF1 0.444091867017 34 0 10K 1
vhlevljeni1 0.526781135667 34 0 10K 1
cak5 0.971407570391 35 0 10K 1
k3 0.718833747898 35 0 10K 1
k5 0.725441805645 35 0 10K 1
potomciNP0 0.479754854881 35 0 10K 1
telF1 0.452623316492 35 0 10K 1
vhlevljeni1 0.493975342676 35 0 10K 1
cak5 0.934816396781 36 0 10K 1
k3 0.709419155551 36 0 10K 1
k5 0.736912008096 36 0 10K 1
potomciNP0 0.285811988808 36 0 10K 1
telF1 0.486974655961 36 0 10K 1
vhlevljeni1 0.511953723277 36 0 10K 1
cak5 0.919518848576 37 0 10K 1
k3 0.678921683744 37 0 10K 1
k5 0.727069832212 37 0 10K 1
potomciNP0 0.377826308609 37 0 10K 1
telF1 0.452987222034 37 0 10K 1
vhlevljeni1 -0.0126908412459 37 0 10K 1
cak5 0.986853027813 38 0 10K 1
k3 0.701978076916 38 0 10K 1
k5 0.722651379888 38 0 10K 1
potomciNP0 0.453436258575 38 0 10K 1
telF1 0.500571707496 38 0 10K 1
vhlevljeni1 0.154814734647 38 0 10K 1
cak5 0.94551219074 39 0 10K 1
k3 0.689226295845 39 0 10K 1
k5 0.699090653399 39 0 10K 1
potomciNP0 0.318456511227 39 0 10K 1
telF1 0.453410784529 39 0 10K 1
vhlevljeni1 0.180936367957 39 0 10K 1
cak5 0.908434470559 40 0 10K 1
k3 0.699398925732 40 0 10K 1
k5 0.720626969122 40 0 10K 1
potomciNP0 0.33909365574 40 0 10K 1
telF1 0.458615361072 40 0 10K 1
vhlevljeni1 0.387695063817 40 0 10K 1
cak5 0.918524701841 41 0 10K 1
k3 0.562737299481 41 0 10K 1
