AgeCat Cor Gen Rep NoControl
cak5 0.00435976373031 21 0 11
k3 0.793199603744 21 0 11
k5 0.693529913753 21 0 11
pBM4 0.762849820715 21 0 11
pBM5 0.591466069339 21 0 11
pBM6 0.691009956219 21 0 11
pb6 0.458016863818 21 0 11
pb7 -0.178487358038 21 0 11
pb8 -0.630030928535 21 0 11
pb9 -0.937676742601 21 0 11
potomciNP0 0.268178292175 21 0 11
telF1 0.304836435397 21 0 11
vhlevljeni1 -0.088843438454 21 0 11
cak5 0.395617051129 22 0 11
k3 0.744357716807 22 0 11
k5 0.732495421153 22 0 11
pBM4 0.324386269386 22 0 11
pBM5 0.775824203703 22 0 11
pBM6 0.697768169924 22 0 11
pb6 0.701799098521 22 0 11
pb7 0.461340028253 22 0 11
pb8 -0.0404521687673 22 0 11
pb9 -0.571865049054 22 0 11
potomciNP0 0.397773960636 22 0 11
telF1 0.269591750954 22 0 11
vhlevljeni1 0.169978236577 22 0 11
cak5 0.799123169308 23 0 11
k3 0.740045952181 23 0 11
k5 0.810216203971 23 0 11
pBM4 0.509460592651 23 0 11
pBM5 0.354193654616 23 0 11
pBM6 0.798137448956 23 0 11
pb6 0.863017799622 23 0 11
pb7 0.68962388249 23 0 11
pb8 0.450634986955 23 0 11
pb9 -0.0478582097347 23 0 11
potomciNP0 0.20142472262 23 0 11
telF1 0.326091794788 23 0 11
vhlevljeni1 0.512740648825 23 0 11
cak5 0.97898686122 24 0 11
k3 0.767314102659 24 0 11
k5 0.76815065613 24 0 11
pBM4 0.587289297533 24 0 11
pBM5 0.508721186607 24 0 11
pBM6 0.387503374584 24 0 11
pb6 0.343536876409 24 0 11
pb7 0.84724996814 24 0 11
pb8 0.751915743669 24 0 11
pb9 0.507393989885 24 0 11
potomciNP0 0.354746171629 24 0 11
telF1 0.518681986781 24 0 11
vhlevljeni1 0.580545895059 24 0 11
cak5 0.861435116673 25 0 11
k3 0.748086964343 25 0 11
k5 0.749866075188 25 0 11
pBM4 0.523217534972 25 0 11
pBM5 0.608803171093 25 0 11
pBM6 0.570347161122 25 0 11
pb6 0.945434979859 25 0 11
pb7 0.277720652894 25 0 11
pb8 0.840375782142 25 0 11
pb9 0.738027238076 25 0 11
potomciNP0 0.549587009271 25 0 11
telF1 0.543131422888 25 0 11
vhlevljeni1 0.490928984984 25 0 11
cak5 0.993575528933 26 0 11
k3 0.745639403751 26 0 11
k5 0.769948479373 26 0 11
pBM4 0.257520892419 26 0 11
pBM5 0.511342564388 26 0 11
pBM6 0.586353356716 26 0 11
pb6 0.910720096063 26 0 11
pb7 0.931004853787 26 0 11
pb8 0.246873152104 26 0 11
pb9 0.833858753315 26 0 11
potomciNP0 0.400003163731 26 0 11
telF1 0.565951942826 26 0 11
