Rep Ref Pop Cor nInd
NA NA NA NA NA
0 1K potomciNP 0.752514923305138 1027
0 2K potomciNP 0.792810176883287 1880
0 3K potomciNP 0.795877908964118 2730
0 4K potomciNP 0.836696288905791 3595
0 5K potomciNP 0.817918140666549 4350
0 6K potomciNP 0.839226338124826 5112
0 7K potomciNP 0.886036134906458 5816
0 8K potomciNP 0.838818363724802 6411
0 9K potomciNP 0.851835351593914 7081
1 1K potomciNP 0.719014242909841 1009
1 2K potomciNP 0.789064589992936 1903
1 3K potomciNP 0.771079282384387 2777
1 4K potomciNP 0.882501713897852 3541
1 5K potomciNP 0.8961585835837 4386
1 6K potomciNP 0.900480674758979 5057
1 7K potomciNP 0.918023600407345 5817
1 8K potomciNP 0.89377938833087 6445
1 9K potomciNP 0.894663899706634 7074
2 1K potomciNP 0.661430219067806 1021
2 2K potomciNP 0.772113333161577 1906
2 3K potomciNP 0.749377957441909 2741
2 4K potomciNP 0.833917473069796 3569
2 5K potomciNP 0.888452991362792 4322
2 6K potomciNP 0.875771914791549 5088
2 7K potomciNP 0.866537665453997 5792
2 8K potomciNP 0.88178915672227 6452
2 9K potomciNP 0.919257755791061 7160
3 1K potomciNP 0.779310766589952 1014
3 2K potomciNP 0.822588430471281 1925
3 3K potomciNP 0.846292647570179 2742
3 4K potomciNP 0.881143286416592 3611
3 5K potomciNP 0.916028749652174 4341
3 6K potomciNP 0.892336884418998 5057
3 7K potomciNP 0.913086388947501 5773
3 8K potomciNP 0.909508291864481 6519
3 9K potomciNP 0.920461218756474 7099
4 1K potomciNP 0.735138527131201 1003
4 2K potomciNP 0.77244004987981 1865
4 3K potomciNP 0.826553498953499 2740
4 4K potomciNP 0.848567245246135 3598
4 5K potomciNP 0.878593347646569 4311
4 6K potomciNP 0.91432719162136 5076
4 7K potomciNP 0.892062662452894 5796
4 8K potomciNP 0.919810514614853 6422
4 9K potomciNP 0.900824141955263 7096
