Rep Ref Pop Cor nInd
NA NA NA NA NA
0 1K potomciNP 0.583855099296424 1027
0 2K potomciNP 0.677907327429877 1880
0 3K potomciNP 0.609604995721113 2730
0 4K potomciNP 0.742081544833846 3595
0 5K potomciNP 0.709558508865738 4350
0 6K potomciNP 0.706070583712784 5112
0 7K potomciNP 0.79975294138176 5816
0 8K potomciNP 0.701305964898341 6411
0 9K potomciNP 0.719362124759595 7081
1 1K potomciNP 0.602468317699255 1028
1 2K potomciNP 0.738300691455595 1895
1 3K potomciNP 0.694048612438482 2778
1 4K potomciNP 0.727881337601911 3566
1 5K potomciNP 0.771190332923187 4329
1 6K potomciNP 0.796393770482567 5101
1 7K potomciNP 0.809867434281465 5824
1 8K potomciNP 0.822970639099012 6424
1 9K potomciNP 0.805302398694213 7051
2 1K potomciNP 0.615188546111116 1021
2 2K potomciNP 0.662957532328462 1906
2 3K potomciNP 0.637116021056334 2741
2 4K potomciNP 0.733776031490831 3569
2 5K potomciNP 0.748660246875355 4322
2 6K potomciNP 0.775686979441547 5088
2 7K potomciNP 0.7938740462662 5792
2 8K potomciNP 0.771893547145176 6452
2 9K potomciNP 0.828861648444736 7160
3 1K potomciNP 0.622634403569821 1014
3 2K potomciNP 0.685438552365425 1925
3 3K potomciNP 0.705996886854411 2742
3 4K potomciNP 0.850967325141755 3611
3 5K potomciNP 0.853386098611782 4341
3 6K potomciNP 0.820360294713853 5057
3 7K potomciNP 0.846548060310922 5773
3 8K potomciNP 0.848555159779946 6519
3 9K potomciNP 0.862442595003459 7099
4 1K potomciNP 0.641350713119529 1003
4 2K potomciNP 0.642740093255999 1865
4 3K potomciNP 0.759371740942666 2740
4 4K potomciNP 0.78041500451571 3598
4 5K potomciNP 0.787336116947235 4311
4 6K potomciNP 0.829328705983741 5076
4 7K potomciNP 0.793526265260798 5796
4 8K potomciNP 0.823348622574509 6422
4 9K potomciNP 0.812244330239613 7096
