NoControls;Ref;$G:$P = 2:1;$G:$P = 1:1;$G:$P = 1:2
1;With initial TP;7.1386218648158;6.98809883820068;6.9868196190733
1;Without initial TP;6.82183675705068;NA;NA
2;With initial TP;7.30840622373681;7.49408264873057;7.4136660683781
2;Without initial TP;6.71401060916968;6.80142285906023;NA
5;With initial TP;6.71675213592858;7.01856665698604;7.08499416373997
5;Without initial TP;6.34858245365726;NA;NA
8;With initial TP;6.04337813903111;6.37661487250288;6.94541866869827
8;Without initial TP;5.58143841531515;5.96709783981238;NA
9;With initial TP;5.33793949361424;6.49887707753658;7.0026228684185
9;Without initial TP;4.72047076543798;6.15461641583192;NA
10;With initial TP;5.14537139152084;5.25762635054547;6.22976591812552
10;Without initial TP;3.43503549491435;4.32668299655306;5.58967291573436
11;With initial TP;3.01869870179678;3.01869870179678;3.01869870179678
11;Without initial TP;3.01869870179678;3.01869870179678;3.01869870179678
