,,,,,,,Deleži s herd / herd-year,,,,Deleži brez herd / herd-year,,,,
Skupina,Lastnost,varA,varPE,varHY / varH,varE,varP,h2,pe2,e2,t,varP,h2,pe2,e2,t
Proizvodnja,kgMleka,8.2,3.9,3.8,9,24.90,0.33,0.16,0.36,0.49,21.10,0.39,0.18,0.43,0.57
Proizvodnja,kgBeljakovin,0.008,0.004,0.008,0.011,0.03,0.26,0.12,0.36,0.39,0.02,0.35,0.17,0.48,0.52
Proizvodnja,kgMascob,0.013,0.006,0.009,0.027,0.06,0.23,0.12,0.49,0.35,0.05,0.28,0.13,0.59,0.41
,perBeljakovin,0.004,0.009,0.005,0.047,0.07,0.40,0.09,0.46,0.20,0.06,0.07,0.15,0.78,0.22
,perMascob,0.103,0.009,0.015,0.334,0.46,0.22,0.02,0.73,0.24,0.45,0.23,0.02,0.75,0.25
,Laktoza,0.018,0.004,0.003,0.021,0.05,0.39,0.10,0.45,0.48,0.04,0.42,0.09,0.49,0.51
,Urea,5.55,0,22.05,53.58,81.18,0.07,0.00,0.66,0.07,59.13,0.09,0.00,0.91,0.09
,SSC,1.346,0.781,0.09,1.529,3.75,0.36,0.21,0.41,0.57,3.66,0.37,0.21,0.42,0.58
,DirektniTest,12663,19192,0,15970,47825.00,0.27,0.40,0.33,,47825.00,0.26,0.40,0.33,0.67
Dolgozivost,Dolgozivost,,,,,0.00,0.07,,,,0.00,,,,
Plodnost,potekTel_mat,0.004,0.011,0.064,0.176,0.26,0.02,0.04,0.69,0.06,0.19,0.02,0.06,0.92,0.08
,potekTel_pat,0.006,0.011,0.064,0.176,0.26,0.02,0.04,0.69,0.07,0.19,0.03,0.06,0.91,0.09
,DMT,520.3,424.9,471,4455,5871.20,0.09,0.07,0.76,0.16,5400.20,0.10,0.08,0.82,0.18
Zunanjost,VisinaKriza,7.72,,1.9,7.24,16.86,0.11,,0.43,,14.96,0.52,,0.48,
Zunanjost,PrsniObseg,11.63,,15.45,28.31,55.39,0.21,,0.51,,39.94,0.29,,0.71,
Zunanjost,PolozajKolka,0.055,,0.053,1.652,1.76,0.03,,0.94,,1.71,0.03,,0.97,
Zunanjost,Biclji,0.24,,0.105,1.437,1.78,0.14,,0.81,,1.68,0.14,,0.86,
Zunanjost,PolozajSeskov,0.592,,0.031,1.193,1.82,0.33,,0.66,,1.79,0.33,,0.67,
Zunanjost,DolzinaSeskov,0.697,,0.047,1.08,1.82,0.38,,0.59,,1.78,0.39,,0.61,
