Name,Reference,G_P,FalseControl,PotomciNPPerYear,telMPerYear,FemalePerYear,MaleSelection,Update,telMTotal
True10_1_1,True,1_1,10,45,0,310,True,False,45
True9_1_1,True,1_1,9,45,55,700,True,False,100
True8_1_1,True,1_1,8,45,120,1180,True,False,165
True5_1_1,True,1_1,5,45,420,3230,True,False,465
True2_1_1,True,1_1,2,45,880,3849,True,False,925
True1_1_1,True,1_1,1,45,1080,3849,True,False,1125
True10_2_1,True,2_1,10,22,0,160,True,False,22
True9_2_1,True,2_1,9,45,5,350,True,False,50
True8_2_1,True,2_1,8,45,40,590,True,False,85
True5_2_1,True,2_1,5,45,190,1610,True,False,235
True2_2_1,True,2_1,2,45,420,3230,True,False,465
True1_2_1,True,2_1,1,45,520,3849,True,False,565
True10_1_2,True,1_2,10,45,45,620,True,False,90
True9_1_2,True,1_2,9,45,155,1400,True,False,200
True8_1_2,True,1_2,8,45,290,2360,True,False,335
True5_1_2,True,1_2,5,45,880,3849,True,False,925
True2_1_2,True,1_2,2,45,1800,3849,True,False,1845
True1_1_2,True,1_2,1,45,2200,3849,True,False,2245
