Generation N Sum GN.F GN.M PN1.F Program Trait value Population h2 rep
0 525 0.00270426909548655 -0.026925704872844 0.0296299739683306 0 PN1 T1 Ebv GN1 0.25 0
1 6000 0.296675426794564 0.00155795509276985 0.295117471701794 0 PN1 T1 Ebv GN1 0.25 0
2 6000 2.44817193214275 0.74682513701296 1.70134679512979 0 PN1 T1 Ebv GN1 0.25 0
3 6000 4.46198387293749 2.00366416331535 2.45831970962214 0 PN1 T1 Ebv GN1 0.25 0
4 6000 6.57256914867554 2.90769375106453 3.66487539761101 0 PN1 T1 Ebv GN1 0.25 0
5 6000 8.80578373668951 3.74636151323613 5.05942222345338 0 PN1 T1 Ebv GN1 0.25 0
6 6000 10.7900793467041 4.33041251928661 6.45966682741751 0 PN1 T1 Ebv GN1 0.25 0
7 6000 13.1606567577393 5.20099662452968 7.95966013320961 0 PN1 T1 Ebv GN1 0.25 0
8 6000 15.1444497940883 6.03918687346022 9.10526292062809 0 PN1 T1 Ebv GN1 0.25 0
9 6000 16.9734951267967 6.84491385789839 10.1285812688983 0 PN1 T1 Ebv GN1 0.25 0
10 6000 18.9773711387827 7.73943351907583 11.2379376197069 0 PN1 T1 Ebv GN1 0.25 0
11 6000 21.1130462525839 8.63539130834192 12.477654944242 0 PN1 T1 Ebv GN1 0.25 0
12 6000 22.965021750618 9.20147795478223 13.7635437958358 0 PN1 T1 Ebv GN1 0.25 0
13 6000 24.6795164590384 9.80615703441135 14.8733594246271 0 PN1 T1 Ebv GN1 0.25 0
14 6000 26.2962418972612 10.526538762593 15.7697031346683 0 PN1 T1 Ebv GN1 0.25 0
15 6000 28.2696361404368 11.4455779239113 16.8240582165255 0 PN1 T1 Ebv GN1 0.25 0
16 6000 29.8494212631748 12.0623359172817 17.7870853458931 0 PN1 T1 Ebv GN1 0.25 0
17 6000 31.4519536364344 12.7967518279338 18.6552018085007 0 PN1 T1 Ebv GN1 0.25 0
18 6000 32.8491503020911 13.4090599381939 19.4400903638972 0 PN1 T1 Ebv GN1 0.25 0
19 6000 34.0121116853515 14.069069418378 19.9430422669734 0 PN1 T1 Ebv GN1 0.25 0
20 6000 35.0873270115395 14.4173553429479 20.6699716685916 0 PN1 T1 Ebv GN1 0.25 0
0 525 0.365869620680416 0.325445508297426 0.0404241123829905 0 PN1 T1 Tbv GN1 0.25 0
1 6000 0.594575154273407 0.177231284015801 0.417343870257606 0 PN1 T1 Tbv GN1 0.25 0
2 6000 1.01088223641696 0.444378381590911 0.566503854826046 0 PN1 T1 Tbv GN1 0.25 0
3 6000 1.61051061426702 0.83045957490707 0.780051039359953 0 PN1 T1 Tbv GN1 0.25 0
4 6000 2.19427121682176 1.06829454079512 1.12597667602664 0 PN1 T1 Tbv GN1 0.25 0
5 6000 2.85851579505176 1.28890037691481 1.56961541813695 0 PN1 T1 Tbv GN1 0.25 0
6 6000 3.4123977182958 1.4363949288356 1.97600278946021 0 PN1 T1 Tbv GN1 0.25 0
7 6000 3.98348709350649 1.63636555050447 2.34712154300202 0 PN1 T1 Tbv GN1 0.25 0
8 6000 4.5372867087319 1.82643931718139 2.7108473915505 0 PN1 T1 Tbv GN1 0.25 0
9 6000 4.77180438798313 1.93243037219553 2.8393740157876 0 PN1 T1 Tbv GN1 0.25 0
10 6000 5.36040921825666 2.15114560076735 3.2092636174893 0 PN1 T1 Tbv GN1 0.25 0
11 6000 5.84747790919797 2.35033086259942 3.49714704659855 0 PN1 T1 Tbv GN1 0.25 0
12 6000 6.08111062251144 2.46820154018392 3.61290908232752 0 PN1 T1 Tbv GN1 0.25 0
13 6000 6.33250257885095 2.53163515565136 3.8008674231996 0 PN1 T1 Tbv GN1 0.25 0
14 6000 6.68452099694124 2.71588212715849 3.96863886978275 0 PN1 T1 Tbv GN1 0.25 0
15 6000 7.0509223161902 2.9699062841037 4.0810160320865 0 PN1 T1 Tbv GN1 0.25 0
16 6000 7.44893829357558 3.12970831513544 4.31922997844014 0 PN1 T1 Tbv GN1 0.25 0
17 6000 7.81763405226319 3.29138563004599 4.5262484222172 0 PN1 T1 Tbv GN1 0.25 0
18 6000 8.04749459185765 3.47442552427022 4.57306906758743 0 PN1 T1 Tbv GN1 0.25 0
19 6000 8.39760530036781 3.67513705566435 4.72246824470346 0 PN1 T1 Tbv GN1 0.25 0
20 6000 8.73225826792062 3.74834318737272 4.9839150805479 0 PN1 T1 Tbv GN1 0.25 0
0 5000 -0.000283948255026122 0 0 -0.000283948255026122 PN1 T1 Ebv PN1 0.25 0
0 5000 -0.0384163101714426 0 0 -0.0384163101714426 PN1 T1 Tbv PN1 0.25 0
0 525 0.00154374225167155 -0.0903360982828939 0.0918798405345655 0 PN1 T2 Ebv GN1 0.25 0
1 6000 0.917222059640112 -0.0410236515750487 0.958245711215161 0 PN1 T2 Ebv GN1 0.25 0
2 6000 3.37513904454357 0.853478295619791 2.52166074892378 0 PN1 T2 Ebv GN1 0.25 0
3 6000 5.60656406877709 1.67797790117588 3.92858616760122 0 PN1 T2 Ebv GN1 0.25 0
4 6000 7.72303622858294 2.30838353259127 5.41465269599167 0 PN1 T2 Ebv GN1 0.25 0
5 6000 9.76416245340236 2.96653149793135 6.79763095547101 0 PN1 T2 Ebv GN1 0.25 0
6 6000 12.0175041565163 3.90033160512438 8.11717255139196 0 PN1 T2 Ebv GN1 0.25 0
7 6000 13.9462345714076 4.52292024884791 9.42331432255973 0 PN1 T2 Ebv GN1 0.25 0
8 6000 15.9788442073301 5.12179582671731 10.8570483806128 0 PN1 T2 Ebv GN1 0.25 0
9 6000 18.2887792134426 6.04125770338432 12.2475215100583 0 PN1 T2 Ebv GN1 0.25 0
10 6000 20.153456118378 6.92074872575272 13.2327073926253 0 PN1 T2 Ebv GN1 0.25 0
11 6000 21.8300285720266 7.60218650187313 14.2278420701535 0 PN1 T2 Ebv GN1 0.25 0
12 6000 23.8590444302403 8.42456780827794 15.4344766219624 0 PN1 T2 Ebv GN1 0.25 0
13 6000 26.0041973063727 9.24360885522021 16.7605884511525 0 PN1 T2 Ebv GN1 0.25 0
14 6000 27.8828915270304 10.1041814162677 17.7787101107627 0 PN1 T2 Ebv GN1 0.25 0
15 6000 29.297121166967 10.7512183311475 18.5459028358195 0 PN1 T2 Ebv GN1 0.25 0
16 6000 30.8468534531762 11.4078878778965 19.4389655752797 0 PN1 T2 Ebv GN1 0.25 0
17 6000 32.3880859771939 12.0285455627008 20.3595404144931 0 PN1 T2 Ebv GN1 0.25 0
18 6000 33.6740733180239 12.5555483363636 21.1185249816602 0 PN1 T2 Ebv GN1 0.25 0
19 6000 34.8805501058761 13.043532147486 21.8370179583901 0 PN1 T2 Ebv GN1 0.25 0
20 6000 35.9072139302039 13.4632008718222 22.4440130583817 0 PN1 T2 Ebv GN1 0.25 0
