Generation 0_True_10_1_1 0_False_10_1_1 0_True_9_1_1 0_False_9_1_1 0_True_8_1_1 0_False_8_1_1 0_True_5_1_1 0_False_5_1_1 0_True_2_1_1 0_False_2_1_1 0_True_1_1_1 0_False_1_1_1 0_True_10_2_1 0_False_10_2_1 0_True_9_2_1 0_False_9_2_1 0_True_8_2_1 0_False_8_2_1 0_True_5_2_1 0_False_5_2_1 0_True_2_2_1 0_False_2_2_1 0_True_1_2_1 0_False_1_2_1 0_True_10_1_2 0_False_10_1_2 0_True_9_1_2 0_False_9_1_2 0_True_8_1_2 0_False_8_1_2 0_True_5_1_2 0_False_5_1_2 0_True_2_1_2 0_False_2_1_2 0_True_1_1_2 0_False_1_1_2
40 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA 10749 NA
41 11208 355 11653 800 12198 1345 14548 3695 15627 3849 15827 3849 11035 182 11253 400 11528 675 12698 1845 14548 3695 15267 3849 11563 710 12548 1695 13548 2695 15627 3849 16547 3849 16947 3849
42 11563 710 12453 1600 13543 2690 18243 7494 20401 8727 20801 8927 11240 364 11653 800 12203 1350 14543 3690 18243 7494 19681 8367 12273 1420 14243 3390 16243 5494 20401 8727 22241 9647 22841 10047
43 11918 1065 13253 2400 14888 4139 21938 11189 24075 13501 24450 13901 11445 546 12053 1200 12878 2025 16388 5639 21938 11189 24095 12781 12983 2130 15938 5189 18938 8189 24075 13501 25000 15341 25000 16141
44 12273 1420 14053 3304 16233 5484 24535 14884 25000 18275 25000 18875 11650 728 12453 1600 13553 2804 18233 7484 24535 14884 25000 17195 13693 2944 17633 6884 21633 10884 25000 18275 25000 21035 25000 22235
45 12628 1775 14853 4104 17578 6829 25000 18579 25000 23049 25000 23849 11855 910 12853 2000 14228 3479 20078 9329 25000 18579 25000 21609 14403 3654 19328 8579 24327 13579 25000 23049 25000 23155 25000 23735
46 12983 2130 15653 4904 18923 8174 25000 22274 25000 24944 25000 25000 12060 1092 13253 2400 14903 4154 21923 11174 25000 22274 25000 24435 15113 4364 21023 10274 25000 16274 25000 24944 25000 25000 25000 25000
47 13338 2589 16453 5704 20268 9519 25000 24535 25000 25000 25000 25000 12265 1274 13653 2904 15578 4829 23768 13019 25000 24535 25000 25000 15823 5074 22718 11969 25000 18969 25000 25000 25000 25000 25000 25000
48 13693 2944 17252 6504 21613 10864 25000 25000 25000 25000 25000 25000 12470 1456 14053 3304 16253 5504 24662 14864 25000 25000 25000 25000 16533 5784 24413 13664 25000 21664 25000 25000 25000 25000 25000 25000
49 14048 3299 18051 7304 22958 12209 25000 25000 25000 25000 25000 25000 12675 1638 14453 3704 16928 6179 25000 16709 25000 25000 25000 25000 17243 6494 24608 15359 25000 24359 25000 25000 25000 25000 25000 25000
50 14403 3654 18851 8104 24301 13554 25000 25000 25000 25000 25000 25000 12880 1820 14853 4104 17603 6854 25000 18554 25000 25000 25000 25000 17953 7204 25000 17054 25000 24665 25000 25000 25000 25000 25000 25000
51 14758 4009 19651 8904 24686 14899 25000 25000 25000 25000 25000 25000 13085 2002 15253 4504 18278 7529 25000 20399 25000 25000 25000 25000 18663 7914 25000 18749 25000 25000 25000 25000 25000 25000 25000 25000
52 15113 4364 20451 9704 25000 16244 25000 25000 25000 25000 25000 25000 13290 2288 15653 4904 18953 8204 25000 22244 25000 25000 25000 25000 19373 8624 25000 20444 25000 25000 25000 25000 25000 25000 25000 25000
53 15468 4719 21251 10504 25000 17589 25000 25000 25000 25000 25000 25000 13495 2493 16053 5304 19628 8879 25000 24089 25000 25000 25000 25000 20083 9334 25000 22139 25000 25000 25000 25000 25000 25000 25000 25000
54 15823 5074 22051 11304 25000 18934 25000 25000 25000 25000 25000 25000 13700 2698 16453 5704 20303 9554 25000 24224 25000 25000 25000 25000 20793 10044 25000 23834 25000 25000 25000 25000 25000 25000 25000 25000
55 16178 5429 22851 12104 25000 20279 25000 25000 25000 25000 25000 25000 13905 2903 16853 6104 20978 10229 25000 25000 25000 25000 25000 25000 21503 10754 25000 23029 25000 25000 25000 25000 25000 25000 25000 25000
56 16533 5784 23651 12904 25000 21624 25000 25000 25000 25000 25000 25000 14110 3108 17253 6504 21653 10904 25000 25000 25000 25000 25000 25000 22213 11464 25000 24474 25000 25000 25000 25000 25000 25000 25000 25000
57 16888 6139 24451 13704 25000 22969 25000 25000 25000 25000 25000 25000 14315 3313 17653 6904 22328 11579 25000 25000 25000 25000 25000 25000 22923 12174 25000 24980 25000 25000 25000 25000 25000 25000 25000 25000
58 17243 6494 24426 14504 25000 24314 25000 25000 25000 25000 25000 25000 14520 3518 18053 7304 23003 12254 25000 25000 25000 25000 25000 25000 23633 12884 25000 25000 25000 25000 25000 25000 25000 25000 25000 25000
59 17598 6849 24900 15304 25000 23979 25000 25000 25000 25000 25000 25000 14725 3723 18453 7704 23678 12929 25000 25000 25000 25000 25000 25000 24343 13594 25000 25000 25000 25000 25000 25000 25000 25000 25000 25000
60 17953 7204 24900 16104 25000 24835 25000 25000 25000 25000 25000 25000 14930 3928 18853 8104 24353 13604 25000 25000 25000 25000 25000 25000 24288 14304 25000 25000 25000 25000 25000 25000 25000 25000 25000 25000
