strategy,scenario,Group,Generation,cat,gvNormUnres1,gvNormUnres3
ClassGen,0_100,home,11,pb,3.0062906225500003,1.9233526519125004
ClassGen,0_100,home,12,pb,2.1752716030375003,0.5662946134375
ClassGen,0_100,home,13,pb,2.0365377899875,1.917642928275
ClassGen,0_100,home,14,pb,2.8662031917000004,2.12923974665
ClassGen,0_100,home,15,pb,2.8779338290375,2.5118461510625
ClassGen,0_100,home,16,pb,3.4634760518,2.6644275281125003
ClassGen,0_100,home,17,pb,2.1495250656625,1.8108561251125002
ClassGen,0_100,home,18,pb,2.7628653365374998,1.4354911684000002
ClassGen,0_100,home,19,pb,3.2143581975749997,1.5185338214375
ClassGen,0_100,home,20,pb,2.69573851055,1.8583365174125
ClassGen,0_100,home,21,pb,3.2779939767624997,2.7185283721625
ClassGen,0_100,home,22,pb,3.9402035607875003,2.399185079875
ClassGen,0_100,home,23,pb,3.3010021975250003,2.475311938725
ClassGen,0_100,home,24,pb,4.0732575715,2.533314103225
ClassGen,0_100,home,25,pb,4.2511847871625,3.5738134337875005
ClassGen,0_100,home,26,pb,4.840055834899999,4.20265696635
ClassGen,0_100,home,27,pb,4.6888719440375,3.7132999478000004
ClassGen,0_100,home,28,pb,4.5755409204,3.4395766452750003
ClassGen,0_100,home,29,pb,4.0332929588125,2.6633730607000006
ClassGen,0_100,home,30,pb,4.8503346421125,3.3513591889375
ClassGen,0_100,home,31,pb,5.5122895574125,4.9311434015125
ClassGen,0_100,home,32,pb,5.730862029375,4.7214794948375
ClassGen,0_100,home,33,pb,6.01351682395,6.0112851214375
ClassGen,0_100,home,34,pb,5.675507431,4.900252352487501
ClassGen,0_100,home,35,gpb,6.042828466129999,5.448969067568571
ClassGen,0_100,home,36,gpb,6.22095121736,5.2438627352500005
ClassGen,0_100,home,37,gpb,5.291549080366666,5.926997486379167
ClassGen,0_100,home,38,gpb,5.68355357415,5.744324261808334
ClassGen,0_100,home,39,gpb,6.382708950816667,6.399385577708333
ClassGen,0_100,home,40,gpb,6.479600354891667,6.113420819541667
ClassGen,0_100,home,41,gpb,7.940644568000001,6.911001732116667
ClassGen,0_100,home,42,gpb,8.328913624616666,8.112297937516665
ClassGen,0_100,home,43,gpb,8.986891767608334,8.858740056099998
ClassGen,0_100,home,44,gpb,8.059695164991666,7.531908080625
ClassGen,0_100,home,45,gpb,8.468157372775,8.534092655408333
ClassGen,0_100,home,46,gpb,8.521795516583333,8.376294629558334
ClassGen,0_100,home,47,gpb,9.523772636258332,9.401497590633333
ClassGen,0_100,home,48,gpb,9.073949153058333,9.112098655541667
ClassGen,0_100,import,11,pb,3.593284414275,4.4466632294299995
ClassGen,0_100,import,12,pb,3.7603221540650003,4.167324276455
ClassGen,0_100,import,13,pb,3.5046252392449997,4.42141673465
ClassGen,0_100,import,14,pb,3.5751312569049998,4.24079325624
ClassGen,0_100,import,15,pb,3.567188247355,4.3314988362
ClassGen,0_100,import,16,pb,4.0680493943150005,4.380207530394999
ClassGen,0_100,import,17,pb,3.9990849052950006,4.249398423515
ClassGen,0_100,import,18,pb,3.72079400209,4.489704611065001
ClassGen,0_100,import,19,pb,4.24026416775,4.5006719432099995
ClassGen,0_100,import,20,pb,3.1231596025000004,3.47467646884
ClassGen,0_100,import,21,pb,4.7457543356650005,5.80168432122
ClassGen,0_100,import,22,pb,5.257744221645,6.16911077162
ClassGen,0_100,import,23,pb,5.4117395167,6.001737412400001
ClassGen,0_100,import,24,pb,5.2274410774449995,5.97477890076
ClassGen,0_100,import,25,gpb,4.672097133704934,5.539231376031909
ClassGen,0_100,import,26,gpb,4.349846995388095,5.312068047603175
ClassGen,0_100,import,27,gpb,4.489908868953151,5.483297673225421
ClassGen,0_100,import,28,gpb,4.60454074433,5.919968911553333
ClassGen,0_100,import,29,gpb,5.2576238993199995,5.939634278610001
ClassGen,0_100,import,30,gpb,4.594622794513333,5.3624480450966665
ClassGen,0_100,import,31,gpb,5.164858262173333,6.1109279405566665
ClassGen,0_100,import,32,gpb,5.662551504333334,6.922258593516666
ClassGen,0_100,import,33,gpb,5.49284236304,6.519616965846666
ClassGen,0_100,import,34,gpb,5.501130670496666,6.613587532116666
ClassGen,0_100,import,35,gpb,5.993013588313332,7.1777538943433346
ClassGen,0_100,import,36,gpb,6.382776462993333,7.882004042186666
ClassGen,0_100,import,37,gpb,6.3714308757466664,7.645022429400001
ClassGen,0_100,import,38,gpb,6.014924479649999,7.582206049593333
ClassGen,0_100,import,39,gpb,6.453410711596668,7.631029140633332
ClassGen,0_100,import,40,gpb,6.223719223416667,7.836500099269999
ClassGen,0_100,import,41,gpb,6.422143982610001,7.899735576046667
ClassGen,0_100,import,42,gpb,6.290462901573333,7.619656994366666
ClassGen,0_100,import,43,gpb,7.034926554076667,8.440630679396666
ClassGen,0_100,import,44,gpb,7.07842005279,8.576051098879999
ClassGen,0_100,import,45,gpb,7.37980011004,8.929483934516666
ClassGen,0_100,import,46,gpb,7.17481274969,9.006709391176667
ClassGen,0_100,import,47,gpb,7.434338018463333,9.251160695340001
ClassGen,0_100,import,48,gpb,7.973254781013333,9.52842846888
ClassGen,100_100,home,11,pb,3.0062906225500003,1.9233526519125004
ClassGen,100_100,home,12,pb,2.1752716030375003,0.5662946134375
ClassGen,100_100,home,13,pb,2.0365377899875,1.917642928275
