NoControls;Ref;$G:$P = 2:1;$G:$P = 1:1;$G:$P = 1:2
1;With initial TP;7.11432651420504;7.27330186855889;7.23758817954924
1;Without initial TP;6.78136421076102;6.91621815499149;7.01123833983976
2;With initial TP;7.12768696483735;7.32979779244936;7.27899556363314
2;Without initial TP;6.81299587211007;6.96344521470992;6.99512790437445
5;With initial TP;6.7794039018559;7.07447198899273;7.26195287373777
5;Without initial TP;6.42866174336062;6.90334162456771;7.05144038192677
8;With initial TP;6.35413989767566;6.61985413935575;7.02425221566777
8;Without initial TP;5.6116789603664;6.24271869046711;6.6999135931241
9;With initial TP;5.58091115472489;6.30186165606332;7.0180874326062
9;Without initial TP;4.63967270475571;5.7524931617722;6.51670015450288
10;With initial TP;5.43190044183282;5.4097631429087;6.50217502603468
10;Without initial TP;3.9337990936157;4.53720164515198;5.6111883607263
11;With initial TP;3.01429965163849;3.01429965163849;3.01429965163849
11;Without initial TP;3.01429965163849;3.01429965163849;3.01429965163849
