strategy,scenario,Group,Generation,cat,gvNormUnres1,gvNormUnres3
ClassGen,0_100,home,35,gpb,6.042828466129999,5.448969067568571
ClassGen,0_100,home,36,gpb,6.22095121736,5.2438627352500005
ClassGen,0_100,home,37,gpb,5.291549080366666,5.926997486379167
ClassGen,0_100,home,38,gpb,5.68355357415,5.744324261808334
ClassGen,0_100,home,39,gpb,6.382708950816667,6.399385577708333
ClassGen,0_100,home,40,gpb,6.479600354891667,6.113420819541667
ClassGen,0_100,home,41,gpb,7.940644568000001,6.911001732116667
ClassGen,0_100,home,42,gpb,8.328913624616666,8.112297937516665
ClassGen,0_100,home,43,gpb,8.986891767608334,8.858740056099998
ClassGen,0_100,home,44,gpb,8.059695164991666,7.531908080625
ClassGen,0_100,home,45,gpb,8.468157372775,8.534092655408333
ClassGen,0_100,home,46,gpb,8.521795516583333,8.376294629558334
ClassGen,0_100,home,47,gpb,9.523772636258332,9.401497590633333
ClassGen,0_100,home,48,gpb,9.073949153058333,9.112098655541667
ClassGen,0_100,import,25,gpb,4.66091530508,5.817872295300001
ClassGen,0_100,import,26,gpb,4.614805087520001,5.304718844310001
ClassGen,0_100,import,27,gpb,5.000301553150001,5.61618673932
ClassGen,0_100,import,28,gpb,4.64425300575,5.70917410811
ClassGen,0_100,import,29,gpb,5.58532739728,5.9135319065
ClassGen,0_100,import,30,gpb,4.624714207109999,5.11160659954
ClassGen,0_100,import,31,gpb,5.14972273386,5.9130189377299995
ClassGen,0_100,import,32,gpb,5.62941886031,6.966339421439999
ClassGen,0_100,import,33,gpb,5.204653024420001,6.72291985581
ClassGen,0_100,import,34,gpb,5.5993749319,7.0194876182599995
ClassGen,0_100,import,35,gpb,5.820558100830556,7.008741028505556
ClassGen,0_100,import,36,gpb,6.555284544073333,7.849511037908334
ClassGen,0_100,import,37,gpb,6.471051993263889,7.6992001196111115
ClassGen,0_100,import,38,gpb,5.8506389545775,7.227537031183749
ClassGen,0_100,import,39,gpb,6.541367086591666,8.001364697208333
ClassGen,0_100,import,40,gpb,6.669097875791666,7.8617342575916656
ClassGen,0_100,import,41,gpb,6.389151442808334,7.749142743658334
ClassGen,0_100,import,42,gpb,6.2309280768,7.696891523183332
ClassGen,0_100,import,43,gpb,7.222509007525,8.570634457941667
ClassGen,0_100,import,44,gpb,7.053466317333333,8.52667413205
ClassGen,0_100,import,45,gpb,7.494056371699999,8.8604909199
ClassGen,0_100,import,46,gpb,7.181097837216667,9.023923804283333
ClassGen,0_100,import,47,gpb,7.459908432158333,8.927944233408333
ClassGen,0_100,import,48,gpb,7.978671793691666,9.944957900391666
ClassGen,100_100,home,35,gpb,7.269332995166666,7.003499711233333
ClassGen,100_100,home,36,gpb,5.687519090458928,5.5823888190383935
ClassGen,100_100,home,37,gpb,5.920077580076786,5.534663967272322
ClassGen,100_100,home,38,gpb,6.975715553583333,6.626746833483333
ClassGen,100_100,import,25,gpb,4.341577095370001,5.118143813850001
ClassGen,100_100,import,26,gpb,4.2796106942400005,5.34329789917
ClassGen,100_100,import,27,gpb,4.49407331571,5.3356451728200005
ClassGen,100_100,import,28,gpb,4.44536477892,5.83818018868
ClassGen,100_100,import,29,gpb,5.03708385403,5.989690260860001
ClassGen,100_100,import,30,gpb,4.5190420186499995,4.9056716939400005
ClassGen,100_100,import,31,gpb,5.5066844606,6.75156097002
ClassGen,100_100,import,32,gpb,6.12240821896,6.508354304169999
ClassGen,100_100,import,33,gpb,6.147286669430001,6.96915535689
ClassGen,100_100,import,34,gpb,5.602002917589999,6.563387110260001
ClassGen,100_100,import,35,gpb,5.503823479155555,6.947706149983334
ClassGen,100_100,import,36,gpb,5.616213691595833,6.931569634865973
ClassGen,100_100,import,37,gpb,6.168822007818751,7.342118166652778
ClassGen,100_100,import,38,gpb,5.82887324094,7.53298196497
ClassGen,100_100,import,39,gpb,5.845579745091667,7.147271485766667
ClassGen,100_100,import,40,gpb,6.526612328983333,7.659325606316666
ClassGen,100_100,import,41,gpb,6.349390479533334,7.925471041158334
ClassGen,100_100,import,42,gpb,6.714645749725,8.236783398075
ClassGen,100_100,import,43,gpb,6.642875301666667,7.98713406705
ClassGen,100_100,import,44,gpb,7.169803675341667,8.873500834025
ClassGen,100_100,import,45,gpb,7.082989536075001,9.340444223408335
ClassGen,100_100,import,46,gpb,7.0677873674,9.124631918291666
ClassGen,100_100,import,47,gpb,7.723077020375,8.961061896724999
ClassGen,100_100,import,48,gpb,7.424243065358333,9.42962752565
ClassGen,10_10,home,35,gpb,5.416415740466666,4.010454152395834
ClassGen,10_10,home,36,gpb,5.279209256531251,3.672600056754167
ClassGen,10_10,home,37,gpb,5.2612165909035715,4.081730148065179
ClassGen,10_10,home,38,gpb,5.124408554875,4.148842919625
ClassGen,10_10,home,39,gpb,5.405209087025,4.571336629508334
ClassGen,10_10,home,40,gpb,6.4369620959,4.733809252416667
ClassGen,10_10,home,41,gpb,7.308474761558333,5.927690972933334
ClassGen,10_10,home,42,gpb,6.9943548793,5.920949150008333
ClassGen,10_10,home,43,gpb,8.470629572966667,6.749354459499999
ClassGen,10_10,home,44,gpb,8.518919856391665,7.000753126775001
ClassGen,10_10,home,45,gpb,9.488305540275,7.506208027941668
ClassGen,10_10,home,46,gpb,9.226990437583334,7.256251124233334
ClassGen,10_10,home,47,gpb,8.625701438225,6.937780062958334
ClassGen,10_10,home,48,gpb,10.126559459050002,8.767504953258333
ClassGen,10_10,import,25,gpb,4.67283692991,5.76450447058
ClassGen,10_10,import,26,gpb,3.81900685656,5.030003263219999
ClassGen,10_10,import,27,gpb,4.77644588649,5.64225182828
ClassGen,10_10,import,28,gpb,4.68450599667,5.92137913575
ClassGen,10_10,import,29,gpb,5.173151810969999,5.890742165820001
ClassGen,10_10,import,30,gpb,4.944258145280001,6.12166497858
ClassGen,10_10,import,31,gpb,6.0272377154,6.58657933093
ClassGen,10_10,import,32,gpb,5.65842671571,6.75401369479
ClassGen,10_10,import,33,gpb,5.373817481550001,6.959548219870001
ClassGen,10_10,import,34,gpb,5.101494936270001,6.532379657030001
ClassGen,10_10,import,35,gpb,6.002994054995001,7.2439075188899995
ClassGen,10_10,import,36,gpb,6.182479407424999,7.237220195275
ClassGen,10_10,import,37,gpb,6.861353863024444,7.915829579717777
ClassGen,10_10,import,38,gpb,5.993505687295,7.134997263785001
ClassGen,10_10,import,39,gpb,6.779389050383333,8.395209761125
ClassGen,10_10,import,40,gpb,6.258191818466667,7.624175966416667
ClassGen,10_10,import,41,gpb,6.6292992083249995,8.281908890233332
ClassGen,10_10,import,42,gpb,6.414636311200001,8.025384102733334
ClassGen,10_10,import,43,gpb,6.940361471058335,8.104284587633334
ClassGen,10_10,import,44,gpb,6.65715465425,8.8257837901
ClassGen,10_10,import,45,gpb,6.864317351258334,8.887426123216667
ClassGen,10_10,import,46,gpb,7.411296004866667,8.9064132138
ClassGen,10_10,import,47,gpb,7.507399564775,9.645404869391665
ClassGen,10_10,import,48,gpb,7.414741201850001,9.103176721075
ClassGen,50_50,home,35,gpb,5.51987387061,5.0102747265800005
ClassGen,50_50,home,36,gpb,5.94956262030625,4.9500723852299995
ClassGen,50_50,home,37,gpb,5.39251881434125,5.51761591226375
ClassGen,50_50,home,38,gpb,6.263339069658334,5.827704877566666
ClassGen,50_50,home,39,gpb,6.085322505666667,5.38865436815
ClassGen,50_50,home,40,gpb,6.7544892441833335,6.388877910824999
ClassGen,50_50,home,41,gpb,8.7121718391,8.557948151808334
ClassGen,50_50,home,42,gpb,7.852528253041667,7.916697935350001
ClassGen,50_50,home,43,gpb,8.88727722445,8.624694021249999
ClassGen,50_50,home,44,gpb,8.393496362150001,8.115817469941668
ClassGen,50_50,home,45,gpb,9.038372787258332,9.308658447708334
ClassGen,50_50,home,46,gpb,9.661427060183332,9.492430319983333
ClassGen,50_50,home,47,gpb,9.960010100075,10.205773586591668
ClassGen,50_50,home,48,gpb,10.163456367783333,9.664997274333333
ClassGen,50_50,import,25,gpb,4.80689846973,6.02645759415
ClassGen,50_50,import,26,gpb,4.565672496800001,5.475231608810001
ClassGen,50_50,import,27,gpb,4.05736043022,5.185154644420001
ClassGen,50_50,import,28,gpb,5.051577422599999,6.08762756146
ClassGen,50_50,import,29,gpb,5.41895816027,5.784033426540001
ClassGen,50_50,import,30,gpb,4.70730361981,5.77670700719
ClassGen,50_50,import,31,gpb,5.44181836468,6.571394546730001
ClassGen,50_50,import,32,gpb,4.995871505290001,6.047630884759999
ClassGen,50_50,import,33,gpb,6.1034244076899995,7.39066914703
ClassGen,50_50,import,34,gpb,5.81986559694,7.050695559829999
ClassGen,50_50,import,35,gpb,5.43479962558125,6.79094466716875
ClassGen,50_50,import,36,gpb,5.085764361150001,6.716756412298334
ClassGen,50_50,import,37,gpb,6.58354485656389,7.932020095211804
ClassGen,50_50,import,38,gpb,6.2562486502704555,7.6057719230204555
ClassGen,50_50,import,39,gpb,6.561067481466667,8.216410821275
ClassGen,50_50,import,40,gpb,6.372723165716668,8.237008876841667
ClassGen,50_50,import,41,gpb,6.403678599325,8.534718755458334
ClassGen,50_50,import,42,gpb,6.4219698126499996,7.9511841359833335
ClassGen,50_50,import,43,gpb,7.270267817199999,9.150575179474998
ClassGen,50_50,import,44,gpb,6.500912669233333,8.908087759916667
ClassGen,50_50,import,45,gpb,7.196814341466666,8.839299940758334
ClassGen,50_50,import,46,gpb,7.0313977032583335,9.405852063766666
ClassGen,50_50,import,47,gpb,7.212479896683334,9.223940566716667
ClassGen,50_50,import,48,gpb,7.340810970516666,9.566967383383332
GenGen,0_100,home,25,gpb,4.529125062325,3.5898362593875
GenGen,0_100,home,26,gpb,4.117576477370833,3.401834729866667
GenGen,0_100,home,27,gpb,3.7871700783937503,2.7154354925125004
GenGen,0_100,home,28,gpb,3.3075795308916662,2.5755589341416667
GenGen,0_100,home,29,gpb,3.5237119375333332,2.621740747533333
GenGen,0_100,home,30,gpb,3.988456396558333,2.8653083041666663
GenGen,0_100,home,31,gpb,6.352857418275001,5.683959333841667
GenGen,0_100,home,32,gpb,6.130697479349999,5.302450527108333
GenGen,0_100,home,33,gpb,6.706149837975,5.9923025976333335
GenGen,0_100,home,34,gpb,6.766996280133334,6.160396480108333
GenGen,0_100,home,35,gpb,7.781433710441666,6.689326723908334
GenGen,0_100,home,36,gpb,8.20924864685,7.6436442639083335
GenGen,0_100,home,37,gpb,7.929888006716666,7.348052331175
GenGen,0_100,home,38,gpb,8.562450432558334,8.1166255348
GenGen,0_100,home,39,gpb,8.022289553925,7.7150458069333325
GenGen,0_100,home,40,gpb,9.172071329783334,8.310911901383333
GenGen,0_100,home,41,gpb,9.241815455008332,8.181547292991667
GenGen,0_100,home,42,gpb,9.794093701283334,9.713034960933333
GenGen,0_100,home,43,gpb,9.410519729850002,9.505055302916666
GenGen,0_100,home,44,gpb,9.724026494666667,9.653250064058334
GenGen,0_100,home,45,gpb,10.788278595875,10.772247656616667
GenGen,0_100,home,46,gpb,10.645637390708334,10.327269054191666
GenGen,0_100,home,47,gpb,11.640513538658332,11.473235754341667
GenGen,0_100,home,48,gpb,11.660477082324999,11.917041341541667
GenGen,0_100,import,25,gpb,4.663773209375,5.168276322983333
GenGen,0_100,import,26,gpb,4.425914532866667,5.525576079216668
GenGen,0_100,import,27,gpb,4.801922308141666,5.776343562941667
GenGen,0_100,import,28,gpb,4.393816088625,5.796641246049999
GenGen,0_100,import,29,gpb,5.186717636508334,5.982876478133333
GenGen,0_100,import,30,gpb,5.132734816358333,5.828663539191666
GenGen,0_100,import,31,gpb,6.1600848199666665,7.636244854991666
GenGen,0_100,import,32,gpb,7.240848747975001,8.249386566041666
GenGen,0_100,import,33,gpb,7.366609718941667,8.640694752775
GenGen,0_100,import,34,gpb,7.437771622391667,8.594311835866668
GenGen,0_100,import,35,gpb,7.255550384883333,8.982153932008334
GenGen,0_100,import,36,gpb,7.650072554225,8.889544941533332
GenGen,0_100,import,37,gpb,8.093127727666667,9.883693938166665
GenGen,0_100,import,38,gpb,8.206637498300001,9.958909597875
GenGen,0_100,import,39,gpb,8.298473427833333,10.359756396508333
GenGen,0_100,import,40,gpb,9.806971685233334,11.221811591341666
GenGen,0_100,import,41,gpb,8.912304404224999,11.385399668766665
GenGen,0_100,import,42,gpb,8.799201492766667,11.2203610113
GenGen,0_100,import,43,gpb,9.590870164208333,11.954039978075
GenGen,0_100,import,44,gpb,10.451510142916668,12.530259150341667
GenGen,0_100,import,45,gpb,10.561786352525,12.91519915380833
GenGen,0_100,import,46,gpb,10.520626123958333,12.502653429
GenGen,0_100,import,47,gpb,11.234038709241666,13.432750869558333
GenGen,0_100,import,48,gpb,11.29427930618,13.790043683893332
GenGen,100_100,home,25,gpb,4.529125062325,3.5898362593875
GenGen,100_100,home,26,gpb,4.117576477370833,3.401834729866667
GenGen,100_100,home,27,gpb,3.7871700783937503,2.7154354925125004
GenGen,100_100,home,28,gpb,3.3075795308916662,2.5755589341416667
GenGen,100_100,import,25,gpb,4.457916194666667,5.507790171591667
GenGen,100_100,import,26,gpb,4.296893215566667,5.416932092716667
GenGen,100_100,import,27,gpb,4.6608072609,5.7391356571
GenGen,100_100,import,28,gpb,4.753089539325,5.891103106216666
GenGen,100_100,import,29,gpb,5.341842098041667,6.1719989656333345
GenGen,100_100,import,30,gpb,5.37942121765,6.196714819891666
GenGen,100_100,import,31,gpb,5.930226206908334,7.5994180398
GenGen,100_100,import,32,gpb,6.110908867491666,7.686082437916666
GenGen,100_100,import,33,gpb,6.7317692451083335,8.452924575691666
GenGen,100_100,import,34,gpb,7.5603549410249995,8.333234040116665
GenGen,100_100,import,35,gpb,7.431499217958333,9.241205884408334
GenGen,100_100,import,36,gpb,8.029319919575,9.697030936233332
GenGen,100_100,import,37,gpb,8.032223148958334,9.725572890375
GenGen,100_100,import,38,gpb,8.388584189883332,10.150368836366667
GenGen,100_100,import,39,gpb,9.100496445233333,11.006580735716666
GenGen,100_100,import,40,gpb,9.256233481008334,11.040238340566667
GenGen,100_100,import,41,gpb,9.030177300716666,11.114815299883333
GenGen,100_100,import,42,gpb,9.556560748308332,11.468169186191668
GenGen,100_100,import,43,gpb,9.906324035575,11.907948743883333
GenGen,100_100,import,44,gpb,10.13262295325,12.412632387424999
GenGen,100_100,import,45,gpb,10.727653878141666,12.642817301183335
GenGen,100_100,import,46,gpb,11.052706798575,13.183976483999999
GenGen,100_100,import,47,gpb,11.230183609808332,13.615068521083332
