"LOKACIJA","N"
7756,2
20003,1
7345,5
6060,1
23472,2
21742,3
13292,1
665,4
4789,1
21694,1
3882,2
15587,7
8041,2
15816,3
20001,5
7128,27
8018,6
7880,7
7305,6
30236,11
17147,12
7652,45
2265,13
30034,1
10762,6
11047,10
30116,2
31739,2
31870,10
7480,111
6149,10
8224,14
9293,2
4698,1
6023,12
1866,1
7793,9
32343,19
31051,33
31065,2
31102,5
31195,5
7653,15
30004,2
3548,10
9892,14
16121,6
11057,6
11505,7
9590,3
674,10
9619,9
988,28
11147,2
30032,3
30033,21
1436,2
10430,1
16010,2
7920,4
1796,4
7683,6
18726,2
12982,7
16324,28
3885,28
1627,1
50832,16
51632,9
7780,2
52539,1
1386,14
9997,7
6419,2
52409,8
11717,17
9495,2
2434,2
5011,26
53315,14
6228,1
5633,28
13421,17
10834,41
9845,31
3728,127
3912,91
6264,3
2414,29
8269,5
15170,16
14006,8
5174,25
5177,23
14382,11
2093,24
8255,5
13751,6
8253,18
12936,3
11608,2
4713,12
8125,1
55216,2
1399,2
7542,1
6542,7
9753,2
54116,37
16245,8
13048,8
10666,35
11512,28
6904,1
10928,1
17139,7
3667,2
3510,8
2778,2
20873,1
5603,3
1046,1
7590,6
7364,6
1594,1
5402,4
21848,3
20936,1
21989,1
921,20
1585,2
8180,66
8181,6
32821,4
30199,15
4941,2
10263,2
5237,5
11685,18
999,16
2411,15
7591,28
949,11
5346,4
5320,2
34887,8
13035,39
3854,23
2990,22
32148,1
4833,7
37689,3
10763,13
974,9
30020,10
15726,3
31033,1
31174,6
7415,17
30667,7
5907,10
4870,2
8169,22
1909,5
13085,3
2263,12
15847,13
4791,5
2370,6
30013,3
40833,2
2786,5
16677,5
5830,33
4568,10
51929,2
15782,2
16525,4
9678,1
2522,14
6682,1
9496,3
11338,3
2057,12
8012,1
53085,3
53212,6
10253,29
16018,1
8158,3
3017,1
8930,15
7682,4
8442,1
2201,13
51870,25
7517,52
6570,8
16262,5
16263,1
15787,15
16013,7
11242,2
6663,5
50004,28
1845,6
3503,9
9424,1
18107,17
4773,23
16280,4
880,49
62719,6
99144,6
6814,4
8927,49
15136,10
13424,1
5250,23
5439,6
15406,12
966,1
14433,2
6109,25
6344,19
1665,36
14298,2
5181,2
5247,3
11070,2
14373,10
894,27
1746,25
6119,12
13779,2
10384,5
9224,5
11607,21
15728,11
330,1
9690,12
1272,5
10259,11
10260,5
10774,8
77,8
3209,2
2206,20
17416,9
55448,7
31329,6
13190,8
5811,12
32222,68
13126,1
13123,30
30048,3
52028,7
31438,3
1279,8
469,3
2221,8
10086,10
30648,11
54219,2
29540,3
5071,4
16103,2
11681,1
5282,2
16273,1
5359,39
27040,5
15991,7
7439,1
24528,2
4737,3
11428,2
21888,2
21573,2
21571,4
1661,1
5567,9
12952,4
3648,5
7948,3
9570,65
9238,5
4630,7
4462,2
2628,1
30218,4
15801,16
5825,25
2264,15
32717,29
30037,12
16081,3
16217,30
15854,4
3547,19
31779,2
31805,1
31809,5
31846,17
2190,1
3736,5
4296,17
8239,11
37250,8
9625,8
7184,16
15960,6
31626,3
4257,16
31819,6
30509,1
1641,3
31618,1
31624,22
20,31
30052,1
30053,3
30118,2
30153,5
16206,16
3414,8
1089,8
7105,2
3902,6
441,8
8060,61
7867,9
9106,42
32604,2
596,8
16241,8
15999,3
41037,5
5340,10
1141,8
16097,1
9988,4
3026,11
934,13
3706,10
2489,30
56325,1
16012,1
7980,1
8641,1
6684,19
7950,13
9991,6
6541,4
10598,4
15843,1
11689,10
11561,1
2044,5
51861,1
18844,2
52267,1
51736,9
13021,12
16222,1
3730,2
11589,2
18158,21
1178,108
489,13
9226,18
8791,23
3609,14
5436,39
7283,53
5143,5
7658,7
1536,5
10903,1
4280,4
13398,13
570,18
14082,23
2584,33
3726,10
9228,8
3716,16
2094,12
5566,4
4858,3
8292,30
8016,4
86,21
3308,8
55230,1
5316,1
13128,1
3478,3
59826,6
5138,28
16086,6
16036,30
51351,31
16038,3
13116,7
9361,31
3272,1
8601,8
11397,2
51609,17
3554,6
3668,1
8859,8
8232,8
30592,1
3529,3
10971,1
10352,2
7201,2
22750,1
22624,2
21743,3
23279,1
9479,3
2458,15
10576,9
9788,11
1496,2
3984,26
1232,7
10772,12
4361,6
5408,1
12962,8
10728,23
8103,8
3493,12
191,39
6470,18
7275,19
8995,18
3852,23
13088,21
31188,5
32146,1
8955,16
6353,16
143,64
3989,44
8237,13
16080,14
39079,6
30031,6
990,1
11254,1
32161,2
7396,21
6338,1
10197,4
1643,16
4872,7
7177,105
3898,15
9849,6
499,18
8796,33
5537,4
30012,6
6456,1
40109,2
41417,2
8276,1
29679,3
697,8
6654,4
8105,22
7097,41
6586,5
5058,10
6730,9
52658,8
59103,8
16589,7
16867,5
10291,3
2969,1
17099,7
50793,3
7304,18
54890,5
9074,15
11578,1
17178,6
15773,14
6276,12
7926,18
732,6
60659,17
5262,40
2066,30
8672,100
9846,12
2049,9
13096,63
3368,26
5734,8
13427,10
532,9
14226,2
8260,11
12436,17
11286,4
13407,7
14151,4
13097,7
12632,9
15490,73
6965,46
18485,9
7777,14
12939,8
7579,2
15729,22
13117,7
887,7
7156,2
54235,3
10290,21
56918,4
6835,6
51364,17
764,118
51279,9
56909,4
1581,5
4418,4
6157,2
15844,7
3446,1
13132,1
16020,1
743,20
3531,13
3327,16
54138,7
16301,2
5629,16
24004,4
25756,1
23935,2
6059,4
908,3
22808,2
22805,2
15575,16
6354,10
30143,6
10039,3
9624,14
9549,8
15558,8
15572,4
15658,1
9318,1
7854,23
5377,16
9621,15
9339,1
31096,11
7405,24
30959,17
31179,17
4128,20
3497,20
31629,6
37222,4
37249,6
3295,12
36625,1
5085,1
5869,15
10042,6
31074,9
31112,3
995,23
4164,2
15817,6
30101,7
30167,8
7975,23
30022,9
3532,8
933,5
3445,1
40563,1
41075,1
88425,13
17585,14
7108,1
11275,4
51624,7
51903,9
52451,2
18618,4
8053,37
17098,11
4703,11
6268,94
972,11
10211,1
10660,13
15838,14
7059,9
53078,2
59380,2
9676,7
4617,8
10245,23
5983,5
6524,14
2230,8
52702,25
52348,2
3131,5
422,13
17318,11
51900,10
10813,5
57552,5
